,biomethane boiler,biomethane CHP,large scale heat pump,TTES charge,TTES discharge,selling
129,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-8.421324621946866,-8.881784197001252e-16
130,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-5.18456666788021,-0.0
131,-0.0,-9.150034189351484,-13.629276870809514,-1.6274958566649333,-0.0,-0.0
132,-0.0,-9.150034189351484,-13.629276870809514,-4.374768146304542,-0.0,-0.0
133,-0.0,-9.150034189351484,-13.629276870809514,-1.2167452580425069,-0.0,-0.0
134,-0.0,-9.150034189351484,-13.629276870809514,-1.6886481699926192,-0.0,-0.0
135,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-1.3757395751257064,-0.0
136,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-1.8176015806033945,-0.0
137,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-3.0547323060946496,-0.0
138,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-2.91077328137537,-0.0
139,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-2.881752913520515,-0.0
140,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-0.3174378768854922,-0.0
141,-0.0,-9.150034189351484,-13.629276870809514,-5.055224338991938,-0.0,-0.0
142,-0.0,-9.150034189351484,-13.629276870809514,-10.596108569310335,-0.0,-0.0
143,-0.0,-9.150034189351484,-13.629276870809514,-11.952707136914242,-0.0,-0.0
144,-0.0,-9.150034189351484,-13.629276870809514,-6.505721915085513,-0.0,-0.0
145,-0.0,-9.150034189351484,-13.629276870809514,-4.740547418035771,-0.0,-0.0
146,-0.0,-9.150034189351484,-13.629276870809514,-3.235062218990027,-0.0,-0.0
147,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-0.09373205785799854,-0.0
148,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-9.134098835043396,-0.0
149,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-22.351344699679387,-0.0
150,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-29.098034315983774,-0.0
151,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-26.013592822608622,-0.0
152,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-22.596315975025327,8.881784197001252e-16
153,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-19.301489725342826,-8.881784197001252e-16
154,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-15.453636260641701,-0.0
155,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-10.275158939360924,-0.0
156,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-8.47280475544441,-0.0
157,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-7.765311003075585,-0.0
158,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-8.95208232371391,-0.0
159,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-9.556170395655137,-0.0
160,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-10.584823795943642,-0.0
161,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-10.665098488901165,-0.0
162,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-9.807517879459276,-0.0
163,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-8.539851898330745,-0.0
164,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-5.911528711533798,-0.0
165,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-0.2314434167226267,-0.0
166,-0.0,-9.150034189351484,-13.629276870809514,-6.556030259640632,-0.0,-0.0
167,-0.0,-9.150034189351484,-13.629276870809514,-8.757391804756278,-0.0,-0.0
168,-0.0,-9.150034189351484,-13.629276870809514,-8.948206771197963,-0.0,-0.0
169,-0.0,-9.150034189351484,-13.629276870809514,-7.174994755622858,-0.0,-0.0
170,-0.0,-9.150034189351484,-13.629276870809514,-4.920949384334644,-0.0,-0.0
171,-0.0,-9.150034189351484,-13.629276870809514,-0.514343822674661,-0.0,-0.0
172,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-9.000432915683405,-0.0
173,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-22.19995247919112,-0.0
174,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-25.346511060917962,-0.0
175,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-21.73939840495708,-0.0
176,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-17.428416562419457,-0.0
177,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-14.52451317415489,-0.0
178,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-12.154668457246238,-0.0
179,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-8.487384511895932,-0.0
180,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-1.141855547012046,-0.0
181,-0.0,-9.150034189351484,-13.629276870809514,-2.4030725823476278,-0.0,-0.0
182,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-3.292621276757805,-0.0
183,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-5.973478004509688,-0.0
184,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-8.934631925129864,-0.0
185,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-10.418459514614867,-0.0
186,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-10.972924218447574,-0.0
187,-1.7547730208066512,-9.150034189351484,-13.629276870809514,-0.0,-7.99320091705998,-0.0
188,-7.89270749450919,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
189,-1.4883743560055238,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
190,-0.0,-9.150034189351484,-13.629276870809514,-5.355671335810026,-0.0,-0.0
191,-0.0,-9.150034189351484,-13.629276870809514,-7.52874815281756,-0.0,-0.0
192,-0.0,-9.150034189351484,-13.629276870809514,-8.573184257685742,-0.0,-0.0
193,-0.0,-9.150034189351484,-13.629276870809514,-8.782704052842664,-0.0,-0.0
194,-0.0,-9.150034189351484,-13.629276870809514,-4.85373376479593,-0.0,-0.0
195,-2.1666130686935126,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
196,-10.864343091061711,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
197,-9.820246208881581,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
198,-12.015721549377437,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
199,-9.385189773706427,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
200,-6.713255012019425,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-8.881784197001252e-16
201,-4.7090639187853744,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
202,-3.9767835389230406,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
203,-2.3065697279256194,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
204,-0.8478623433433488,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
205,-0.0,-9.150034189351484,-13.629276870809514,-0.6386995697606299,-0.0,-0.0
206,-1.7085759982475905,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
207,-1.987207235370379,-9.150034189351484,-13.629276870809514,-0.0,-0.0,8.881784197001252e-16
208,-5.114608032803697,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
209,-6.5382786718513435,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
210,-6.222075570642588,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
211,-6.563577491527311,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
212,-5.41060757938342,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
213,-0.0,-9.150034189351484,-13.629276870809514,-0.2751300984688001,-0.0,-0.0
214,-0.0,-9.150034189351484,-13.629276870809514,-4.8741811327138045,-0.0,-0.0
215,-0.0,-9.150034189351484,-13.629276870809514,-8.408660051116929,-0.0,-0.0
216,-0.0,-9.150034189351484,-13.629276870809514,-8.164542978917328,-0.0,-0.0
217,-0.0,-9.150034189351484,-13.629276870809514,-7.611421471450978,-0.0,-0.0
218,-0.0,-9.150034189351484,-13.629276870809514,-4.499480476795778,-0.0,-0.0
219,-0.0,-9.150034189351484,-13.629276870809514,-1.3778341520892496,-0.0,-0.0
220,-7.478161930081155,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
221,-17.15744304514219,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
222,-20.07357689528706,-9.150034189351484,-13.629276870809514,-0.0,-2.1644791995376025,-0.0
223,-19.798086639286325,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
224,-17.248927218410063,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
225,-14.58957523783064,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
226,-11.31996383444023,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
227,-8.367061800063457,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
228,-7.267335774923728,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
229,-6.29000908695242,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
230,-6.6362973869657695,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
231,-6.815934661677067,-9.150034189351484,-13.629276870809514,-0.0,-0.0,8.881784197001252e-16
232,-8.143829031541472,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
233,-8.775063060970822,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
234,-8.459799637344831,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
235,-6.854986043681214,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
236,-4.779000414250569,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
237,-0.0,-9.150034189351484,-13.629276870809514,-0.7075788699023988,-0.0,-0.0
238,-0.0,-9.150034189351484,-13.629276870809514,-6.913668519826981,-0.0,-0.0
239,-0.0,-9.150034189351484,-13.629276870809514,-9.442756671930422,-0.0,-0.0
240,-0.0,-9.150034189351484,-13.629276870809514,-7.6146219863754645,-0.0,-0.0
241,-0.0,-9.150034189351484,-13.629276870809514,-6.530260209463091,-0.0,-0.0
242,-0.0,-9.150034189351484,-13.629276870809514,-4.0298823107789055,-0.0,-0.0
243,-0.0,-9.150034189351484,-13.629276870809514,-0.3641623545807988,-0.0,-0.0
244,-8.11172895901387,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
245,-18.552101153992307,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
246,-20.07357689528706,-9.150034189351484,-13.629276870809514,-0.0,-4.744623739993223,-0.0
247,-20.07357689528706,-9.150034189351484,-13.629276870809514,-0.0,-2.531582449076616,-0.0
248,-19.487227186162475,-9.150034189351484,-13.629276870809514,-0.0,-0.0,8.881784197001252e-16
249,-16.516961917832223,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
250,-13.05223156625483,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
251,-10.322507743850114,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
252,-8.5790742318767,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
253,-7.600907391884053,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
254,-7.82490676318124,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-8.881784197001252e-16
255,-8.489262617876076,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-8.881784197001252e-16
256,-9.070221606316416,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
257,-9.035280720998776,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
258,-9.007457061534115,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
259,-8.778943964390471,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
260,-6.583436674843192,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
261,-1.1139629660316583,-9.150034189351484,-13.629276870809514,-0.0,-0.0,-0.0
262,-0.0,-9.150034189351484,-13.629276870809514,-4.347317702493012,-0.0,-0.0
263,-0.0,-9.150034189351484,-13.629276870809514,-6.220488044582442,-0.0,-0.0
264,-0.0,-9.150034189351484,-13.629276870809514,-0.07186074626486771,-0.0,-0.0
