,pv panels,st panels,dec air heat pump,dec ground heat pump
7664,0.00393964,0.0,0.44855241871340923,0.44855241871340923
7665,0.02220276,0.0,0.41626844218305276,0.41626844218305276
7666,0.02343652,0.0,0.388795363823004,0.388795363823004
7667,0.01759796,0.0,0.36966792690900885,0.36966792690900885
7668,0.03535184,0.0,0.3585449825549711,0.3585449825549711
7669,0.03972868,0.0,0.3536520636050783,0.3536520636050783
7670,0.08637494,0.0,0.3511049246246659,0.3511049246246659
7671,0.06738892,0.0,0.35400165965225194,0.35400165965225194
7672,0.0,0.0,0.3647832283974444,0.3647832283974444
7673,0.0,0.0,0.3661557731474208,0.3661557731474208
7674,0.0,0.0,0.370077622566892,0.370077622566892
7675,0.0,0.0,0.3700387848208675,0.3700387848208675
7676,0.0,0.0,0.3509063537471738,0.3509063537471738
7677,0.0,0.0,0.30199992345673077,0.30199992345673077
7678,0.0,0.0,0.2516557245932836,0.2516557245932836
7679,0.0,0.0,0.22892584262605087,0.22892584262605087
7680,0.0,0.0,0.2268377629661367,0.2268377629661367
7681,0.0,0.0,0.23738965739362045,0.23738965739362045
7682,0.0,0.0,0.2566152659534697,0.2566152659534697
7683,0.0,0.0,0.29478933885372166,0.29478933885372166
7684,0.0,0.0,0.35047491356942817,0.35047491356942817
7685,0.0,0.0,0.43302294177593587,0.43302294177593587
7686,0.0,0.0,0.4780486769986913,0.4780486769986913
7687,0.0,0.0,0.4748144456858636,0.4748144456858636
7688,0.04286649,0.0,0.4349622454114776,0.4349622454114776
7689,0.03745127,0.0,0.40365918485535435,0.40365918485535435
7690,0.03433703,0.0,0.37701964016415207,0.37701964016415207
7691,0.10622529,0.0,0.35847417898772094,0.35847417898772094
7692,0.12309445,0.0,0.34767987064952516,0.34767987064952516
7693,0.26339579,0.12854330515362788,0.34293415596506893,0.34293415596506893
7694,0.18880957,0.03824615262679232,0.3404519911344729,0.3404519911344729
7695,0.1160483,0.0,0.34324805082940435,0.34324805082940435
7696,0.0,0.0,0.3536863564640913,0.3536863564640913
7697,0.0,0.0,0.354987260998145,0.354987260998145
7698,0.0,0.0,0.3587819780701656,0.3587819780701656
7699,0.0,0.0,0.358737744879086,0.358737744879086
7700,0.0,0.0,0.3401813871013242,0.3401813871013242
7701,0.0,0.0,0.2927590421987578,0.2927590421987578
7702,0.0,0.0,0.2440150601490238,0.2440150601490238
7703,0.0,0.0,0.2220372404912114,0.2220372404912114
7704,0.0,0.0,0.2152172393747062,0.2152172393747062
7705,0.0,0.0,0.22426067571877878,0.22426067571877878
7706,0.0,0.0,0.23868563453295705,0.23868563453295705
7707,0.0,0.0,0.2720016411945165,0.2720016411945165
7708,0.0,0.0,0.3234828963731058,0.3234828963731058
7709,0.0,0.0,0.4185138117933983,0.4185138117933983
7710,0.0,0.0,0.4657550949348309,0.4657550949348309
7711,0.0,0.0,0.46308215612472076,0.46308215612472076
7712,0.01500077,0.0,0.4252013080678602,0.4252013080678602
7713,0.04337893,0.0,0.3949739447226153,0.3949739447226153
7714,0.02645279,0.0,0.3686800221712594,0.3686800221712594
7715,0.051315,0.0,0.34902831810951507,0.34902831810951507
7716,0.0470321,0.0,0.3374846556164549,0.3374846556164549
7717,0.03606348,0.0,0.33290474133114617,0.33290474133114617
7718,0.01965013,0.0,0.3299806869077551,0.3299806869077551
7719,0.00178205,0.0,0.3304228122643905,0.3304228122643905
7720,0.0,0.0,0.33941926553471424,0.33941926553471424
7721,0.0,0.0,0.34718114875729544,0.34718114875729544
7722,0.0,0.0,0.3497362265112711,0.3497362265112711
7723,0.0,0.0,0.347996555733706,0.347996555733706
7724,0.0,0.0,0.33184766946365807,0.33184766946365807
7725,0.0,0.0,0.28663908790745496,0.28663908790745496
7726,0.0,0.0,0.23867575401118618,0.23867575401118618
7727,0.0,0.0,0.21191603235355885,0.21191603235355885
7728,0.0,0.0,0.21705528000666374,0.21705528000666374
7729,0.0,0.0,0.22045797536320724,0.22045797536320724
7730,0.0,0.0,0.24407753269844523,0.24407753269844523
