,biomethane boiler,biomethane CHP,large scale heat pump,TTES charge,TTES discharge,selling,heating_grid_92MW
7595,0.0,0.0,13.629276870809514,24.118549712376627,0.0,0.0,31.45320320628423
7596,0.0,0.0,13.629276870809514,27.77052299708663,0.0,0.0,30.288577182828536
7597,0.0,0.0,13.629276870809514,26.22627916394013,0.0,0.0,30.89586723844918
7598,0.0,0.0,13.629276870809514,22.871031175196695,0.0,0.0,30.239136970317087
7599,0.0,5.30096193312914,13.629276870809514,19.07965798985927,0.0,0.0,32.070490067499314
7600,0.0,11.758862553237996,13.629276870809514,16.488465870548875,0.0,0.0,33.84984718381823
7601,0.0,11.758862553237996,13.629276870809514,13.983213186683404,0.0,0.0,34.68430615085592
7602,0.0,11.758862553237996,13.629276870809514,12.8974836283403,0.0,0.0,35.056228400990484
7603,0.0,5.693442093465629,11.021146073107396,0.0,0.0,1.7763568394002505e-15,36.28232593444893
7604,0.0,5.32521403234832,10.862808006826953,0.0,0.0,1.7763568394002505e-15,34.88491429604129
7605,0.0,3.5945699921967473,10.118631069561777,0.0,0.0,0.0,32.265347189855916
7606,0.0,0.4708060082431378,8.775412556461726,0.0,0.0,0.0,26.31085939968871
7607,0.0,0.0,8.274883922380173,0.0,0.0,0.0,23.42006449981903
7608,0.0,0.0,8.572965972917176,1.8436352250173726,0.0,0.0,22.30196237996401
7609,0.0,0.0,8.572965972917176,0.9343111129348003,0.0,0.0,23.23690504005517
7610,0.0,0.0,8.572965972917176,0.0,0.8182357514399392,0.0,25.102562457982923
7611,0.0,0.0,8.572965972917176,0.0,4.603705512420856,0.0,28.69305711993206
7612,0.0,0.0,0.39539985043146864,0.0,32.615312962980695,0.0,33.70218401709638
7613,0.0,0.0,0.0,0.0,41.00772284838763,0.0,41.00772284838763
7614,0.0,0.0,0.0,0.0,45.23952228629579,0.0,45.23952228629579
7615,0.0,0.0,0.0,0.0,43.80150127944246,0.0,43.80150127944246
7616,0.0,0.0,5.411027203338531,0.0,26.160368818841093,0.0,40.8472455705995
7617,0.0,0.0,13.588593325824238,4.6356779681279425,0.0,1.7763568394002505e-15,38.24354532872539
7618,0.0,0.0,13.629276870809514,16.685756838693017,0.0,0.0,35.3404026340046
7619,0.0,0.0,13.629276870809514,24.506857524746877,0.0,0.0,34.05044641800266
7620,0.0,0.0,13.629276870809514,28.063395378558706,0.0,0.0,32.63741000372977
7621,0.0,0.0,13.629276870809514,25.698896403183333,0.0,0.0,32.134326555227595
7622,0.0,2.0215666026092474,13.629276870809514,21.51696551979659,0.0,0.0,32.07050110537061
7623,0.0,6.642309854318652,13.629276870809514,18.47371866243308,0.0,0.0,33.07060056239307
7624,0.0,11.758862553237996,13.629276870809514,18.901882845480497,0.0,0.0,33.767396387012056
7625,0.0,11.758862553237996,13.629276870809514,14.448364656411439,0.0,0.0,34.966341470129116
7626,0.0,11.758862553237996,13.629276870809514,13.174491466208483,0.0,0.0,35.152125582100496
7627,0.0,4.945791299209254,10.699656231577155,0.0,0.0,0.0,35.09053599045213
7628,0.0,4.126122814743154,10.347198783256733,0.0,0.0,0.0,33.23118889839195
7629,0.0,2.09045186676254,9.471860275625069,0.0,0.0,0.0,29.055172313516277
7630,0.0,0.0,8.572965972917176,0.6906023266329804,0.0,0.0,24.078960712163845
7631,0.0,0.0,8.572965972917176,3.5065662689143693,0.0,0.0,21.50731174312864
7632,0.0,0.0,8.572965972917176,2.612857786625863,0.0,0.0,22.21486645109679
7633,0.0,0.0,8.572965972917176,1.3727268473078347,0.0,0.0,23.21809791725735
7634,0.0,0.0,8.572965972917176,0.0,1.2284286338038939,0.0,25.048974387857932
7635,0.0,0.0,8.572965972917176,0.0,5.26064897781875,0.0,28.682245979400673
7636,0.0,0.0,6.2568682806379,0.0,17.12167869583601,0.0,33.97981939086208
7637,0.0,0.0,0.0,0.0,41.82894717717931,0.0,41.82894717717931
7638,0.0,0.0,0.0,0.0,46.10903650057504,0.0,46.10903650057504
7639,0.0,0.0,0.0,0.0,45.80375821371697,0.0,45.80375821371697
7640,0.0,0.0,2.925782053217939,0.0,34.25670400535629,0.0,42.010169001457136
7641,0.0,0.0,11.103348175703646,0.0,2.417121105299337,0.0,39.031093050023266
7642,0.0,0.0,13.629276870809514,15.386788415533598,0.0,0.0,36.49568566740904
7643,0.0,0.0,13.629276870809514,23.031304230272433,0.0,0.0,34.73106257729443
7644,0.0,0.0,13.629276870809514,26.7113865934823,0.0,0.0,33.70317325146729
7645,0.0,0.0,13.629276870809514,26.126081386948545,0.0,0.0,33.251584318031405
7646,0.0,0.13424847992914307,13.629276870809514,22.32426748070687,0.0,0.0,33.01437681542626
7647,0.0,5.573922579194424,13.629276870809514,19.76381827408003,0.0,0.0,33.279235341879804
7648,0.0,11.758862553237996,13.629276870809514,17.552528001758414,0.0,0.0,34.27091273184935
7649,0.0,11.758862553237996,13.629276870809514,15.4584631494406,0.0,0.0,34.39174997792592
7650,0.0,11.758862553237996,13.629276870809514,13.94293045858085,0.0,0.0,34.751645509784126
7651,0.0,12.678397089125133,5.451710748323807,0.0,11.688492274499183,0.0,34.746452750543085
7652,0.0,0.9195345358871364,0.39539985043146864,0.0,31.310111594832076,0.0,32.979799187353564
7653,0.0,0.0,8.572965972917176,0.0,4.157307377631604,0.0,28.46742970568086
7654,0.0,0.0,8.325990747923981,0.0,0.0,0.0,23.83669958503969
7655,0.0,0.0,8.572965972917176,3.3188483349723086,0.0,0.0,21.75388138819844
7656,0.0,0.0,8.572965972917176,2.867215604716989,0.0,0.0,22.077324345724133
7657,0.0,0.0,8.572965972917176,1.437175241565626,0.0,0.0,23.07528754618399
7658,0.0,0.0,8.572965972917176,0.0,0.3953120881943022,0.0,24.892138524227416
7659,0.0,0.0,8.572965972917176,0.0,4.108794557904734,0.0,28.501684528071994
7660,0.0,0.0,8.572965972917176,0.0,9.247135109486624,0.0,33.77002879785221
7661,0.0,0.0,8.572965972917176,0.0,17.099189562692832,0.0,41.585598425728605
7662,0.0,0.0,8.572965972917176,0.0,21.215840727700964,0.0,45.85382724116013
7663,0.0,11.318974719741503,13.440125102406023,0.0,0.0,-1.7763568394002505e-15,45.54485277231897
7664,0.0,9.03514090940325,12.510850236937658,0.0,0.0,1.7763568394002505e-15,41.773656879336116
7665,0.0,6.7628658177021075,11.778416616161497,0.0,0.0,-1.7763568394002505e-15,38.811484222029776
7666,0.0,5.177127574262021,11.113076074136362,0.0,0.0,-1.7763568394002505e-15,36.290821674715325
7667,0.0,11.210642832711153,13.629276870809514,13.82891094589229,0.0,0.0,34.535935269648085
