,heat demand
517,76.1729103
518,76.9332762
519,79.1764165
520,81.8605452
521,82.6231012
522,81.1684458
523,79.5083211
524,78.5448639
525,69.6889564
526,59.5754159
527,56.4964693
528,55.8910826
529,55.6711619
530,61.9097571
531,73.4296088
532,87.1283079
533,85.8708665
534,90.7487375
535,87.955137
536,83.6517261
537,80.0354581
538,78.2698023
539,74.4912828
540,72.6581936
541,73.7883128
542,75.3021436
543,74.9781395
544,79.7763575
545,81.4180541
546,80.5365712
547,80.5043727
548,78.1449943
549,68.9750652
550,61.6225284
551,55.5428099
552,56.7549337
553,58.4954637
554,62.7798462
555,68.3590542
556,82.4408866
557,98.9084869
558,106.947499
559,103.311301
560,98.8142923
561,94.6029461
562,89.5575163
563,85.0248609
564,83.6113976
565,82.4198344
566,83.050957
567,83.6605064
568,86.1026013
569,86.5223661
570,85.5168439
571,82.7338232
572,79.1834385
573,69.8465703
574,59.9092426
575,56.117558
576,60.3294626
577,62.1552718
578,65.8939253
579,71.7499391
580,86.226442
581,103.800229
582,113.603784
583,109.788653
584,104.764418
585,99.7355168
586,94.287082
587,90.1377726
588,87.8940393
589,86.6431161
590,87.4574054
591,88.5527259
592,89.1376488
593,88.6635952
594,87.6061741
595,86.811846
596,82.0209159
597,72.3739341
598,62.2545406
599,58.89438
600,60.4804793
601,62.3115251
602,66.054795
603,71.9236307
604,86.4319692
605,104.083345
606,113.951152
607,110.114621
608,105.074114
609,100.03329
610,94.5715946
611,90.4107705
612,88.1616365
613,86.9081688
614,87.7264124
615,88.8270647
616,89.424979
617,88.9604268
618,87.9051149
619,87.1099463
620,82.3080797
621,72.6300865
622,62.4503552
623,59.0546883
624,58.1290913
625,59.8890777
626,63.4903082
627,69.1326798
628,83.0811138
629,100.024364
630,109.471239
631,105.794309
632,100.953581
633,96.1087768
634,90.859673
635,86.8614247
636,84.699867
637,83.4947588
638,84.2793892
639,85.3349497
640,85.9007099
641,85.4460763
642,84.428688
643,83.6636605
644,79.0481058
645,69.7522761
646,59.9971296
647,56.7509836
648,53.0733428
649,54.9729348
650,57.0791151
651,62.0231234
652,74.9115957
653,93.4914137
654,102.572011
655,98.7438844
656,93.9922539
657,89.7847866
658,84.9333866
659,80.6950014
660,78.4280847
661,77.180609
662,77.7750575
663,78.7563015
664,79.440316
665,79.5833383
666,79.0587854
667,77.6807016
668,73.8205617
669,65.3458819
670,55.4420073
671,51.9677147
672,44.3065019
673,46.336268
674,48.8484589
675,53.1868317
676,64.4642596
677,80.6410137
678,85.0739057
679,81.6902816
680,76.8232955
681,73.7556822
682,71.2548757
683,66.3950085
684,63.188019
685,62.2641476
686,62.8859654
687,64.715278
688,66.915202
689,67.5489437
690,66.3720412
691,65.0219234
692,64.2281326
693,56.9927276
694,48.7001686
695,46.1350992
696,43.2757309
697,43.1178247
698,47.9268695
699,56.8189099
700,67.4196835
701,66.6025813
702,70.4402209
703,68.2578831
704,64.9219701
705,62.1215359
706,60.7440019
707,57.8156304
708,56.3971251
709,57.2640263
710,58.4350443
711,58.193202
712,61.9123277
713,63.1954538
714,62.5242308
715,62.4990641
716,60.6676567
717,53.5584365
718,47.7995368
719,43.0368968
720,48.5049474
721,49.99534
722,53.6491432
723,58.4160958
724,70.4474207
725,84.572781
726,91.4682165
727,88.3517986
728,84.5070198
729,80.9091879
730,76.5992387
731,72.7255467
732,71.5170725
733,70.4996658
734,71.0404354
735,71.5642963
736,73.6595897
737,74.0285123
738,73.1764218
739,70.8046791
740,67.7706871
741,59.786055
742,51.2611658
743,47.9803205
744,52.4788864
745,54.0697968
746,57.3173401
747,62.4107054
748,75.0021315
749,90.3311529
750,98.8710366
751,95.546508
752,91.1760773
753,86.8039826
754,82.0666572
755,78.4561225
756,76.505538
757,75.4181523
758,76.1270519
759,77.0810536
760,77.5996802
761,77.1967946
762,76.2829012
763,75.5932887
764,71.4281497
765,63.0326411
766,54.2060957
767,51.2487969
768,47.7958961
769,49.2471572
770,52.1973254
771,56.8339623
772,68.2965714
773,82.3171307
774,90.14216
775,87.0988242
776,83.1146901
777,79.1348907
778,74.8219831
779,71.5317879
780,69.7562032
781,68.766896
782,69.4148066
783,70.2870112
784,70.7769363
785,70.4265213
786,69.6025765
787,68.9764813
788,65.1855309
789,57.5299568
790,49.4412936
791,46.6996695
792,44.1547393
793,45.4962932
794,48.2215523
795,52.5053772
796,63.0957867
797,76.0531347
798,83.2726194
799,80.4630201
800,76.7837361
801,73.1078724
802,69.1242593
803,66.0846448
804,64.4447281
805,63.53087
806,64.1289604
807,64.9342655
808,65.3867027
809,65.0629641
810,64.302472
811,63.724209
812,60.2226469
813,53.1512064
814,45.6816949
815,43.1447769
816,41.3394477
817,42.8219218
818,44.4578263
819,48.3074547
820,58.3405741
821,72.8815392
822,79.999368
823,77.0026326
824,73.3001819
825,70.0257773
826,66.2504091
827,62.9492459
828,61.1865953
829,60.2170303
830,60.6828403
831,61.4506766
832,62.0049194
833,62.1348882
834,61.7361907
835,60.6685388
836,57.664288
837,51.0527116
838,43.2835845
839,40.5122436
840,41.588763
841,43.494119
842,45.849734
843,49.9212671
844,60.5044041
845,75.707394
846,79.8866162
847,76.7064205
848,72.1388855
849,69.259533
850,66.9107014
851,62.3510075
852,59.3436057
853,58.476823
854,59.0611326
855,60.7777293
856,62.846392
857,63.445809
858,62.3450299
859,61.0796754
860,60.3315325
861,53.5371087
862,45.7373154
863,43.3105879
864,43.5971833
865,43.4376891
866,48.2832141
867,57.2422953
868,67.9220576
869,67.0934516
870,70.9571431
871,68.7593429
872,65.3988277
873,62.5776252
