time,south45-60deg-eta_c,south45-60deg-heat,south45-60deg-ira,south45-70deg-eta_c,south45-70deg-heat,south45-70deg-ira,south45-80deg-eta_c,south45-80deg-heat,south45-80deg-ira,south45-90deg-eta_c,south45-90deg-heat,south45-90deg-ira
2022-09-11 15:00:00,0.33836713152116665,114.4011600968393,338.09773302311106,0.20474810764142973,69.22487103433932,338.09773302311106,0.0616643648729055,20.848581971839312,338.09773302311106,0.0,0.0,338.09773302311106
2022-09-11 16:00:00,0.15339408811376448,37.24991696124966,242.83802211219066,0.0,0.0,242.83802211219066,0.0,0.0,242.83802211219066,0.0,0.0,242.83802211219066
2022-09-11 17:00:00,0.0,0.0,69.5759444514191,0.0,0.0,69.5759444514191,0.0,0.0,69.5759444514191,0.0,0.0,69.5759444514191
2022-09-11 18:00:00,0.0,0.0,4.75869607925415,0.0,0.0,4.75869607925415,0.0,0.0,4.75869607925415,0.0,0.0,4.75869607925415
2022-09-11 19:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 20:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 21:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 22:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 23:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 00:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 01:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 02:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 03:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 04:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 05:00:00,0.0,0.0,0.6261283755302429,0.0,0.0,0.6261283755302429,0.0,0.0,0.6261283755302429,0.0,0.0,0.6261283755302429
2022-09-12 06:00:00,0.0,0.0,57.26333363159116,0.0,0.0,57.26333363159116,0.0,0.0,57.26333363159116,0.0,0.0,57.26333363159116
2022-09-12 07:00:00,0.0,0.0,191.26168613693625,0.0,0.0,191.26168613693625,0.0,0.0,191.26168613693625,0.0,0.0,191.26168613693625
2022-09-12 08:00:00,0.3891326167793687,163.78556863733576,420.89910116735155,0.2788994263245326,117.38851785608574,420.89910116735155,0.16106346363491408,67.79146707483575,420.89910116735155,0.0356247287105132,14.994416293585747,420.89910116735155
2022-09-12 09:00:00,0.5551294699487478,372.40145293972745,670.8371165632935,0.4868957514985832,326.6277420022275,670.8371165632935,0.41389187361479396,277.6540310647275,670.8371165632935,0.33611783629738,225.48032012722754,670.8371165632935
2022-09-12 10:00:00,0.6134982916391652,511.095970060188,833.0845856059757,0.5593327679093004,465.9715071695629,833.0845856059757,0.5013260976076596,417.647044278938,833.0845856059757,0.4394782807342424,366.122581388313,833.0845856059757
2022-09-12 11:00:00,0.6352671040659894,574.5577051656483,904.4348455763343,0.5858962457584228,529.9049805562731,904.4348455763343,0.5329872663626967,482.05225594689813,904.4348455763343,0.47654016587881104,430.9995313375232,904.4348455763343
2022-09-12 12:00:00,0.6393461912482085,576.5713278764225,901.8139714741566,0.5901718332879028,532.2252048295475,901.8139714741566,0.5374490716642906,484.6790817826725,901.8139714741566,0.48117790637737173,433.9329587357975,901.8139714741566
2022-09-12 13:00:00,0.6250750752150187,505.49859398611017,808.7006089824081,0.5705561569254023,461.4091115642352,808.7006089824081,0.5120802736422431,414.11962914236017,808.7006089824081,0.44964742536554136,363.6301467204852,808.7006089824081
2022-09-12 14:00:00,0.5756851688700908,360.1986147880139,625.6868063754068,0.5053532996220009,316.19289213176387,625.6868063754068,0.4299070505158197,268.9871694755139,625.6868063754068,0.3493464215515467,218.58144681926387,625.6868063754068
2022-09-12 15:00:00,0.49553901100882086,229.02039124780262,462.1642013240526,0.4002635861731232,184.9875006228026,462.1642013240526,0.298064215279223,137.7546099978026,462.1642013240526,0.18894089832712033,87.32171937280259,462.1642013240526
2022-09-12 16:00:00,0.2610399465111069,69.04434785792172,264.4972494850859,0.09403778896838474,24.87273652979672,264.4972494850859,0.0,0.0,264.4972494850859,0.0,0.0,264.4972494850859
2022-09-12 17:00:00,0.0,0.0,77.34558017520334,0.0,0.0,77.34558017520334,0.0,0.0,77.34558017520334,0.0,0.0,77.34558017520334
2022-09-12 18:00:00,0.0,0.0,5.50553035736084,0.0,0.0,5.50553035736084,0.0,0.0,5.50553035736084,0.0,0.0,5.50553035736084
2022-09-12 19:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 20:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 21:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 22:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-12 23:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 00:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 01:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 02:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 03:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 04:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 05:00:00,0.0,0.0,0.48826906085014343,0.0,0.0,0.48826906085014343,0.0,0.0,0.48826906085014343,0.0,0.0,0.48826906085014343
2022-09-13 06:00:00,0.0,0.0,63.21454028358351,0.0,0.0,63.21454028358351,0.0,0.0,63.21454028358351,0.0,0.0,63.21454028358351
2022-09-13 07:00:00,0.08817601936289052,21.588795794756052,244.8374960759665,0.0,0.0,244.8374960759665,0.0,0.0,244.8374960759665,0.0,0.0,244.8374960759665
2022-09-13 08:00:00,0.43959380987332264,196.90987211622763,447.9359529038204,0.33786437469632696,151.34160063185266,447.9359529038204,0.22899106107140701,102.57332914747764,447.9359529038204,0.11297386899856285,50.60505766310263,447.9359529038204
2022-09-13 09:00:00,0.5606901310307852,350.85298669303353,625.7520282156877,0.4892416011275159,306.14392419303357,625.7520282156877,0.41267922443556787,258.23486169303357,625.7520282156877,0.33100300095494106,207.12579919303357,625.7520282156877
2022-09-13 10:00:00,0.6313538403377863,522.9863881443962,828.3570237960199,0.5782891325188493,479.02986470689615,828.3570237960199,0.5213613561098307,431.87334126939624,828.3570237960199,0.46057051111073016,381.51681783189616,828.3570237960199
2022-09-13 11:00:00,0.643621534600203,549.6130715739297,853.9382883068566,0.592694637036444,506.12464383955466,853.9382883068566,0.538020396082866,459.43621610517965,853.9382883068566,0.4795988117394691,409.54778837080465,853.9382883068566
2022-09-13 12:00:00,0.629500690711275,476.55908451580507,757.0429890670006,0.5725077019362261,433.41294193768005,757.0429890670006,0.511287740523938,387.06679935955503,757.0429890670006,0.44584080647441077,337.5206567814301,757.0429890670006
2022-09-13 13:00:00,0.4657287696075591,177.58415884269826,381.3038198012493,0.3529015361941895,134.56270376457329,381.3038198012493,0.23168204486515576,88.34124868644831,381.3038198012493,0.10207029562045777,38.919793608323275,381.3038198012493
2022-09-13 14:00:00,0.0,0.0,128.70229315385046,0.0,0.0,128.70229315385046,0.0,0.0,128.70229315385046,0.0,0.0,128.70229315385046
2022-09-13 15:00:00,0.0,0.0,115.1301043263989,0.0,0.0,115.1301043263989,0.0,0.0,115.1301043263989,0.0,0.0,115.1301043263989
2022-09-13 16:00:00,0.0,0.0,106.61246601887261,0.0,0.0,106.61246601887261,0.0,0.0,106.61246601887261,0.0,0.0,106.61246601887261
2022-09-13 17:00:00,0.0,0.0,48.5989505452733,0.0,0.0,48.5989505452733,0.0,0.0,48.5989505452733,0.0,0.0,48.5989505452733
2022-09-13 18:00:00,0.0,0.0,4.2637224197387695,0.0,0.0,4.2637224197387695,0.0,0.0,4.2637224197387695,0.0,0.0,4.2637224197387695
2022-09-13 19:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 20:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 21:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 22:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-13 23:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-14 00:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-14 01:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-14 02:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-14 03:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-14 04:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-14 05:00:00,0.0,0.0,0.17519070208072662,0.0,0.0,0.17519070208072662,0.0,0.0,0.17519070208072662,0.0,0.0,0.17519070208072662
2022-09-14 06:00:00,0.0,0.0,13.32103450048852,0.0,0.0,13.32103450048852,0.0,0.0,13.32103450048852,0.0,0.0,13.32103450048852
2022-09-14 07:00:00,0.0,0.0,61.04899226407876,0.0,0.0,61.04899226407876,0.0,0.0,61.04899226407876,0.0,0.0,61.04899226407876
2022-09-14 08:00:00,0.0,0.0,131.72270247953887,0.0,0.0,131.72270247953887,0.0,0.0,131.72270247953887,0.0,0.0,131.72270247953887
2022-09-14 09:00:00,0.0,0.0,93.03532159910162,0.0,0.0,93.03532159910162,0.0,0.0,93.03532159910162,0.0,0.0,93.03532159910162
2022-09-14 10:00:00,0.29291185986741197,76.05766398370561,259.66058191748704,0.12598018370853686,32.7120878118306,259.66058191748704,0.0,0.0,259.66058191748704,0.0,0.0,259.66058191748704
2022-09-14 11:00:00,0.5989845198787991,369.4575602004747,616.8065249419672,0.5296720039105262,326.70514809109966,616.8065249419672,0.45517147537980335,280.75273598172464,616.8065249419672,0.3754829342866307,231.6003238723497,616.8065249419672
2022-09-14 12:00:00,0.5811636565876601,327.66702699407773,563.8119715158994,0.5054197309728318,284.9616949628277,563.8119715158994,0.4240001543224352,239.05636293157778,563.8119715158994,0.3369049266364703,189.95103090032777,563.8119715158994
2022-09-14 13:00:00,0.6091490318581106,392.49819919219533,644.3385422364425,0.542920790947658,349.8247909890703,644.3385422364425,0.4717262166732362,303.95138278594527,644.3385422364425,0.39556530903484566,254.87797458282034,644.3385422364425
2022-09-14 14:00:00,0.572127322096268,309.21566095197204,540.4665168218314,0.49314405269593187,266.527848451972,540.4665168218314,0.40823997247679183,220.640035951972,540.4665168218314,0.3174150814388477,171.552223451972,540.4665168218314
2022-09-14 15:00:00,0.029329082190711814,5.029155683954517,171.47334005382527,0.0,0.0,171.47334005382527,0.0,0.0,171.47334005382527,0.0,0.0,171.47334005382527
2022-09-14 16:00:00,0.0,0.0,120.51586526639574,0.0,0.0,120.51586526639574,0.0,0.0,120.51586526639574,0.0,0.0,120.51586526639574
2022-09-14 17:00:00,0.0,0.0,26.13558180530452,0.0,0.0,26.13558180530452,0.0,0.0,26.13558180530452,0.0,0.0,26.13558180530452
