time,x,y,lon,lat,temperature,T_supply
2022-01-08 03:00:00,11.75,48.25,11.75,48.25,-1.4046326,70.0
2022-01-08 04:00:00,11.75,48.25,11.75,48.25,-1.907074,70.0
2022-01-08 05:00:00,11.75,48.25,11.75,48.25,-1.4308777,70.0
2022-01-08 06:00:00,11.75,48.25,11.75,48.25,-0.2104187,70.0
2022-01-08 07:00:00,11.75,48.25,11.75,48.25,0.3269043,70.0
2022-01-08 08:00:00,11.75,48.25,11.75,48.25,0.93130493,70.0
2022-01-08 09:00:00,11.75,48.25,11.75,48.25,1.443573,70.0
2022-01-08 10:00:00,11.75,48.25,11.75,48.25,1.2870483,70.0
2022-01-08 11:00:00,11.75,48.25,11.75,48.25,1.3860168,70.0
2022-01-08 12:00:00,11.75,48.25,11.75,48.25,1.744751,70.0
2022-01-08 13:00:00,11.75,48.25,11.75,48.25,1.5533142,70.0
2022-01-08 14:00:00,11.75,48.25,11.75,48.25,1.5607605,70.0
2022-01-08 15:00:00,11.75,48.25,11.75,48.25,1.2190552,70.0
2022-01-08 16:00:00,11.75,48.25,11.75,48.25,-0.10366821,70.0
2022-01-08 17:00:00,11.75,48.25,11.75,48.25,-2.1345825,70.0
2022-01-08 18:00:00,11.75,48.25,11.75,48.25,-2.1441345,70.0
2022-01-08 19:00:00,11.75,48.25,11.75,48.25,-0.9293518,70.0
2022-01-08 20:00:00,11.75,48.25,11.75,48.25,0.37161255,70.0
2022-01-08 21:00:00,11.75,48.25,11.75,48.25,0.7825012,70.0
2022-01-08 22:00:00,11.75,48.25,11.75,48.25,1.0013733,70.0
2022-01-08 23:00:00,11.75,48.25,11.75,48.25,1.104248,70.0
2022-01-09 00:00:00,11.75,48.25,11.75,48.25,1.1799927,70.0
2022-01-09 01:00:00,11.75,48.25,11.75,48.25,1.2625732,70.0
2022-01-09 02:00:00,11.75,48.25,11.75,48.25,1.6066895,70.0
2022-01-09 03:00:00,11.75,48.25,11.75,48.25,1.0249329,70.0
2022-01-09 04:00:00,11.75,48.25,11.75,48.25,1.3556213,70.0
2022-01-09 05:00:00,11.75,48.25,11.75,48.25,2.2438965,70.0
2022-01-09 06:00:00,11.75,48.25,11.75,48.25,3.597931,70.0
2022-01-09 07:00:00,11.75,48.25,11.75,48.25,3.911316,70.0
2022-01-09 08:00:00,11.75,48.25,11.75,48.25,3.7160034,70.0
2022-01-09 09:00:00,11.75,48.25,11.75,48.25,3.2717285,70.0
2022-01-09 10:00:00,11.75,48.25,11.75,48.25,2.4138489,70.0
2022-01-09 11:00:00,11.75,48.25,11.75,48.25,2.8423462,70.0
2022-01-09 12:00:00,11.75,48.25,11.75,48.25,3.4398804,70.0
2022-01-09 13:00:00,11.75,48.25,11.75,48.25,3.8630066,70.0
2022-01-09 14:00:00,11.75,48.25,11.75,48.25,3.2404175,70.0
2022-01-09 15:00:00,11.75,48.25,11.75,48.25,2.91391,70.0
2022-01-09 16:00:00,11.75,48.25,11.75,48.25,2.378662,70.0
2022-01-09 17:00:00,11.75,48.25,11.75,48.25,2.1189575,70.0
2022-01-09 18:00:00,11.75,48.25,11.75,48.25,1.5914612,70.0
2022-01-09 19:00:00,11.75,48.25,11.75,48.25,1.1996765,70.0
2022-01-09 20:00:00,11.75,48.25,11.75,48.25,1.3389282,70.0
2022-01-09 21:00:00,11.75,48.25,11.75,48.25,1.1820679,70.0
2022-01-09 22:00:00,11.75,48.25,11.75,48.25,0.5335388,70.0
2022-01-09 23:00:00,11.75,48.25,11.75,48.25,0.3489685,70.0
2022-01-10 00:00:00,11.75,48.25,11.75,48.25,1.0517578,70.0
2022-01-10 01:00:00,11.75,48.25,11.75,48.25,0.5621643,70.0
2022-01-10 02:00:00,11.75,48.25,11.75,48.25,1.0473022,70.0
2022-01-10 03:00:00,11.75,48.25,11.75,48.25,0.5028076,70.0
2022-01-10 04:00:00,11.75,48.25,11.75,48.25,0.68829346,70.0
2022-01-10 05:00:00,11.75,48.25,11.75,48.25,0.45690918,70.0
2022-01-10 06:00:00,11.75,48.25,11.75,48.25,0.66922,70.0
2022-01-10 07:00:00,11.75,48.25,11.75,48.25,0.4807434,70.0
2022-01-10 08:00:00,11.75,48.25,11.75,48.25,0.70617676,70.0
2022-01-10 09:00:00,11.75,48.25,11.75,48.25,1.1036682,70.0
2022-01-10 10:00:00,11.75,48.25,11.75,48.25,1.4716187,70.0
2022-01-10 11:00:00,11.75,48.25,11.75,48.25,1.8485107,70.0
2022-01-10 12:00:00,11.75,48.25,11.75,48.25,2.2292786,70.0
2022-01-10 13:00:00,11.75,48.25,11.75,48.25,2.2608948,70.0
2022-01-10 14:00:00,11.75,48.25,11.75,48.25,2.5021057,70.0
2022-01-10 15:00:00,11.75,48.25,11.75,48.25,2.6547852,70.0
2022-01-10 16:00:00,11.75,48.25,11.75,48.25,2.1359558,70.0
2022-01-10 17:00:00,11.75,48.25,11.75,48.25,1.7638245,70.0
2022-01-10 18:00:00,11.75,48.25,11.75,48.25,1.7089539,70.0
2022-01-10 19:00:00,11.75,48.25,11.75,48.25,1.6687012,70.0
2022-01-10 20:00:00,11.75,48.25,11.75,48.25,1.5237732,70.0
2022-01-10 21:00:00,11.75,48.25,11.75,48.25,1.4408875,70.0
2022-01-10 22:00:00,11.75,48.25,11.75,48.25,1.6341248,70.0
