,dec air heat pump,dec pellet boiler,dec ground heat pump
266,0.49525674,0.49525674,0.49525674
267,0.5192652,0.5192652,0.5192652
268,0.63641744,0.63641744,0.63641744
269,0.7568981,0.7568981,0.7568981
270,0.82520344,0.82520344,0.82520344
271,0.81941851,0.81941851,0.81941851
272,0.77151782,0.77151782,0.77151782
273,0.73216301,0.73216301,0.73216301
274,0.70709299,0.70709299,0.70709299
275,0.6752555,0.6752555,0.6752555
276,0.65337554,0.65337554,0.65337554
277,0.64434696,0.64434696,0.64434696
278,0.64890133,0.64890133,0.64890133
279,0.64293027,0.64293027,0.64293027
280,0.65814836,0.65814836,0.65814836
281,0.65013269,0.65013269,0.65013269
282,0.64650796,0.64650796,0.64650796
283,0.62390263,0.62390263,0.62390263
284,0.58472935,0.58472935,0.58472935
285,0.52813397,0.52813397,0.52813397
286,0.47076141,0.47076141,0.47076141
287,0.44917371,0.44917371,0.44917371
288,0.48277149,0.48277149,0.48277149
289,0.49292771,0.49292771,0.49292771
290,0.52056968,0.52056968,0.52056968
291,0.54579305,0.54579305,0.54579305
292,0.66901752,0.66901752,0.66901752
293,0.79546542,0.79546542,0.79546542
294,0.86704969,0.86704969,0.86704969
295,0.86110778,0.86110778,0.86110778
296,0.81070074,0.81070074,0.81070074
297,0.76930134,0.76930134,0.76930134
298,0.7429465,0.7429465,0.7429465
299,0.70949101,0.70949101,0.70949101
300,0.68647137,0.68647137,0.68647137
301,0.67698705,0.67698705,0.67698705
302,0.68175465,0.68175465,0.68175465
303,0.67544469,0.67544469,0.67544469
304,0.69137657,0.69137657,0.69137657
305,0.68289335,0.68289335,0.68289335
306,0.67906283,0.67906283,0.67906283
307,0.65527153,0.65527153,0.65527153
308,0.61407379,0.61407379,0.61407379
309,0.55464646,0.55464646,0.55464646
310,0.49451942,0.49451942,0.49451942
311,0.47201858,0.47201858,0.47201858
312,0.45550691,0.45550691,0.45550691
313,0.46882002,0.46882002,0.46882002
314,0.48957955,0.48957955,0.48957955
315,0.51277231,0.51277231,0.51277231
316,0.62802912,0.62802912,0.62802912
317,0.77263853,0.77263853,0.77263853
318,0.83871041,0.83871041,0.83871041
319,0.83387329,0.83387329,0.83387329
320,0.7888241,0.7888241,0.7888241
321,0.75009624,0.75009624,0.75009624
322,0.72349702,0.72349702,0.72349702
323,0.69117997,0.69117997,0.69117997
