,heat demand
680,85.7264496
681,82.2888583
682,79.5198592
683,74.0151408
684,70.3576375
685,69.3117532
686,69.988747
687,72.0462077
688,74.431572
689,75.041816
690,73.645088
691,72.0886876
692,71.2690108
693,63.2167359
694,54.2987868
695,51.7642414
696,47.9768388
697,47.7493335
698,53.1958012
699,63.2097679
700,75.0144316
701,73.3317161
702,77.0782643
703,74.8013128
704,71.1481798
705,68.0576246
706,66.5980184
707,63.3656232
708,61.7951095
709,62.8008552
710,64.0961895
711,63.7706412
712,67.8625442
713,69.213888
714,68.4177167
715,68.3925944
716,66.3957021
717,58.5822992
718,52.6216781
719,47.5848023
720,54.0226091
721,55.6725228
722,59.8197983
723,65.152252
724,78.6149751
725,93.9178779
726,101.105387
727,97.7740755
728,93.5393966
729,89.5348063
730,84.7298545
731,80.4140754
732,79.0815578
733,77.9405861
734,78.517222
735,79.0596363
736,81.2983566
737,81.5989391
738,80.58914
739,77.8828413
740,74.5126569
741,65.6952948
742,56.6135068
743,53.2894265
744,58.702197
745,60.4704967
746,64.1662217
747,69.8866548
748,84.0263286
749,100.715527
750,109.77151
751,106.20363
752,101.35978
753,96.4582243
754,91.1519866
755,87.1283741
756,84.9424544
757,83.71813
758,84.4871608
759,85.5214372
760,85.9499059
761,85.3582364
762,84.2712125
763,83.48428
764,78.8095414
765,69.5063268
766,60.0864308
767,57.1481686
768,53.3105858
769,54.9188827
770,58.2672657
771,63.4599792
772,76.2955275
773,91.5138255
774,99.7873445
775,96.5310124
776,92.1281843
777,87.6790548
778,82.8619233
779,79.2059391
780,77.2217641
781,76.1109797
782,76.8117484
783,77.7545106
784,78.1619579
785,77.6418586
786,76.6634265
787,75.9508342
788,71.7080674
789,63.2496754
790,54.6430486
791,51.9243975
792,49.2243544
793,50.7102421
794,53.8017803
795,58.5968816
796,70.4496131
797,84.5065975
798,92.1366733
799,89.131776
800,85.0677475
801,80.9604035
802,76.5132449
803,73.1374111
804,71.3057298
805,70.2801733
806,70.9267736
807,71.7968309
808,72.1729531
809,71.6927673
810,70.7900528
811,70.1322246
812,66.2152656
813,58.4060944
814,50.4619213
815,47.9472813
816,46.2563872
817,47.9124691
818,49.7674158
819,54.088965
820,65.3640853
821,81.3284163
822,88.8969239
823,85.6565839
824,81.5425957
825,77.8744878
826,73.6426095
827,69.9475466
828,67.9649682
829,66.8700396
830,67.3688177
831,68.2014404
832,68.7005492
833,68.7427701
834,68.2525025
835,67.0291618
836,63.662749
837,56.3372556
838,47.9936235
839,45.1867563
840,45.9022892
841,48.0155458
842,50.6631032
843,55.1778717
844,66.9249142
845,83.4046726
846,87.5093174
847,84.1122154
848,79.0750609
849,75.9057592
850,73.3509023
851,68.2783457
852,64.909933
853,63.9461904
854,64.5712111
855,66.4675094
856,68.6716124
857,69.2402135
858,67.9575879
859,66.5251574
860,65.7654306
861,58.3376125
862,50.0944827
863,47.7328713
864,48.9252241
865,48.6920904
866,54.2482968
867,64.4629283
868,76.5016207
869,74.7707917
870,78.584629
871,76.2647264
872,72.5398717
873,69.388319
874,67.9009235
875,64.6048931
876,63.003285
877,64.0297062
878,65.3507116
879,65.0178112
880,69.1901693
881,70.5670322
882,69.7540701
883,69.7284811
884,67.6925993
885,59.7257152
886,53.6539901
887,48.5226361
888,54.5565665
889,56.222599
890,60.4114692
891,65.7967446
892,79.3928575
893,94.8431822
894,102.099365
895,98.7358995
896,94.4595374
897,90.4152896
898,85.5627138
899,81.2042701
900,79.858634
901,78.7063151
902,79.2885221
903,79.8360511
904,82.0962415
905,82.3989925
906,81.3786716
907,78.6451075
908,75.2416096
909,66.3375281
910,57.168621
911,53.8146747
912,52.559396
913,54.1447078
914,57.4489378
915,62.5697137
916,75.2273515
917,90.2102039
918,98.3404457
919,95.1378498
920,90.7996018
921,86.4128311
922,81.6634262
923,78.0596737
924,76.1033688
925,75.0078669
926,75.6974718
927,76.6252263
928,77.0195022
929,76.4998557
930,75.5322359
931,74.8289636
932,70.645377
933,62.3107001
934,53.8482279
935,51.1847962
936,49.9331496
937,51.4407408
938,54.5739896
939,59.4370004
940,71.4576824
941,85.736582
942,93.5011442
943,90.4457291
944,86.3208433
945,82.1546716
946,77.6436233
947,74.2185167
948,72.3605464
949,71.3205667
950,71.9776668
951,72.8618442
952,73.250259
953,72.7695255
954,71.856574
955,71.1899423
956,67.2171459
957,59.2913426
958,51.2116224
959,48.6450713
960,48.3004898
961,49.7588237
962,52.7914383
963,57.4963135
964,69.126049
965,82.9265233
966,90.4182393
967,87.4680632
968,83.4799733
969,79.4500258
970,75.0865848
971,71.7738877
972,69.9767237
973,68.9705424
974,69.605239
975,70.459323
976,70.830435
977,70.3611951
978,69.4764567
979,68.831217
980,64.9881117
981,57.3244924
982,49.5238071
983,47.0504102
984,48.3203629
985,50.0498278
986,51.9885465
987,56.5032716
988,68.282924
989,84.9451665
990,92.8402687
991,89.4588841
992,85.1618126
993,81.3295081
994,76.9081475
995,73.048172
996,70.9765152
997,69.832286
998,70.3526488
999,71.2215909
1000,71.7382504
1001,71.7782879
1002,71.2640737
1003,69.9849148
1004,66.4678273
1005,58.8178971
1006,50.1143793
1007,47.1959504
1008,53.7319234
1009,56.2052522
1010,59.3113141
1011,64.598124
1012,78.3557565
1013,97.5943189
1014,102.349927
1015,98.3845011
1016,92.4853796
1017,88.7751174
1018,85.7883388
1019,79.8447743
1020,75.8937382
1021,74.7644249
1022,75.4943701
1023,77.7156151
1024,80.285515
1025,80.938485
1026,79.426037
1027,77.7438312
1028,76.8629242
1029,68.1758603
1030,58.5703637
1031,55.8593743
1032,58.3179086
1033,58.0290629
1034,64.6713217
1035,76.8720756
1036,91.2276951
1037,89.024121
1038,93.5120985
1039,90.7649262
1040,86.328863
1041,82.5728392
1042,80.8095021
1043,76.8831461
1044,74.9734191
1045,76.2042698
1046,77.7797457
1047,77.3746196
1048,82.3442601
1049,83.9745028
1050,82.9953972
1051,82.9651338
1052,80.5426848
1053,71.0548383
1054,63.8782623
