,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,selling
1871,-0.0,-9.210907727685012,-0.0,-0.0,-0.0
1872,-0.0,-10.46274171003531,-0.0,-0.0,-0.0
1873,-0.0,-9.888335076453135,-0.0,-0.0,-0.0
1874,-0.0,-11.188844016576683,-0.0,-0.0,-0.0
1875,-0.0,-13.464449677451661,-0.0,-0.0,-0.0
1876,-0.0,-16.68300677472937,-0.0,-0.0,-0.0
1877,-0.0,-16.049892986324803,-0.0,-0.0,-0.0
1878,-0.0,-17.068609612897315,-0.0,-0.0,-0.0
1879,-0.0,-16.11741918149248,-0.0,-0.0,-0.0
1880,-0.0,-13.431230541087997,-0.0,-0.0,-0.0
1881,-0.0,-10.467328317026645,-0.0,-0.0,-0.0
1882,-0.0,-8.508154685587185,-0.0,-0.0,-0.0
1883,-0.0,-6.906084206491166,-0.0,-0.0,-0.0
1884,-0.0,-6.172198930907237,-0.1434463200270386,-0.0,-0.0
1885,-0.0,-10.273461615012966,-12.782992048994592,-0.0,-0.0
1886,-0.0,-9.88444663827719,-10.566720400103058,-0.0,-0.0
1887,-0.0,-8.324980806009412,-0.0,-0.0,-0.0
1888,-0.0,-10.14779080136126,-0.0,-0.0,-0.0
1889,-0.0,-11.40962735546557,-0.0,-0.0,-0.0
1890,-0.0,-11.95040021181753,-0.0,-0.0,-0.0
1891,-0.0,-12.855530255760671,-0.0,-0.0,-0.0
1892,-0.0,-12.775557996130267,-0.0,-0.0,-0.0
1893,-0.0,-12.122068086689362,-0.0,-0.0,-0.0
1894,-0.0,-10.135919194073097,-0.0,-0.0,-0.0
1895,-0.0,-9.337140425325678,-0.0,-0.0,-0.0
1896,-0.0,-10.16405659101914,-0.0,-0.0,-0.0
1897,-0.0,-10.80203885991017,-0.0,-0.0,-0.0
1898,-0.0,-11.906227346564664,-0.0,-0.0,-0.0
1899,-0.0,-13.907075441100213,-0.0,-0.0,-0.0
1900,-0.0,-16.68331261544234,-0.0,-0.0,-0.0
1901,-0.0,-18.518503046811947,-0.0,-4.897394751844871,-0.0
1902,-0.0,-18.518503046811947,-0.0,-10.59943528037821,-0.0
1903,-0.0,-18.518503046811947,-0.0,-7.869827854758405,-0.0
1904,-0.0,-17.85745704567157,-0.0,-0.0,-0.0
1905,-0.0,-14.215218525106852,-0.0,-0.0,-0.0
1906,-0.0,-11.131646627261224,-0.0,-0.0,-0.0
1907,-0.0,-9.453336951311254,-0.0,-0.0,-0.0
1908,-0.0,-8.358330529059684,-0.0,-0.0,-0.0
1909,-0.0,-10.522166889937358,-7.881416401173271,-0.0,-0.0
1910,-0.0,-9.9653252480691,-4.777466317780913,-0.0,-0.0
1911,-0.0,-9.77078623608162,-0.0,-0.0,-0.0
1912,-0.0,-11.09433716575706,-0.0,-0.0,-0.0
